,beds,full_baths,sqft,year_built,list_price,price_per_sqft
166,5.0,2.0,1750.0,1955.0,799900.0,457.0
167,4.0,2.0,2704.0,2005.0,1195000.0,442.0
170,1.0,1.0,550.0,1988.0,588000.0,1069.0
171,1.0,1.0,1000.0,1950.0,250000.0,250.0
174,6.0,3.0,2940.0,1901.0,580000.0,197.0
175,2.0,2.0,881.0,1952.0,1299000.0,1474.0
176,6.0,8.0,4275.0,1970.0,1449000.0,339.0
179,6.0,6.0,875.0,1900.0,17482500.0,19980.0
181,6.0,4.0,2504.0,1952.0,1299900.0,519.0
185,6.0,4.0,2504.0,1931.0,1299900.0,519.0
186,6.0,4.0,4647.0,1940.0,1699000.0,366.0
187,1.0,1.0,850.0,1952.0,379000.0,446.0
188,3.0,3.0,2280.0,2018.0,7976500.0,3498.0
189,2.0,2.0,1240.0,2007.0,2550000.0,2056.0
190,1.0,1.0,504.0,1971.0,649000.0,1288.0
192,1.0,1.0,735.0,2020.0,1292720.0,1759.0
193,1.0,1.0,750.0,1952.0,166400.0,222.0
194,3.0,2.0,1216.0,1935.0,799000.0,657.0
196,3.0,1.0,1170.0,1960.0,668000.0,571.0
198,2.0,1.0,900.0,1953.0,328000.0,364.0
200,6.0,3.0,3040.0,1899.0,2800000.0,921.0
203,8.0,5.0,2328.0,1915.0,1448999.0,622.0
204,2.0,1.0,840.0,1925.0,639000.0,761.0
205,3.0,1.0,1644.0,1920.0,749000.0,456.0
207,4.0,1.0,2160.0,1930.0,998000.0,462.0
208,1.0,1.0,874.0,1952.0,399000.0,457.0
211,2.0,1.0,900.0,1930.0,199000.0,221.0
212,2.0,2.0,1121.0,2023.0,1070000.0,955.0
213,3.0,3.0,1993.0,1975.0,1350000.0,677.0
215,0.0,2.0,3735.0,1900.0,3200000.0,857.0
216,2.0,1.0,1000.0,1962.0,175000.0,175.0
218,4.0,2.0,1260.0,1925.0,779000.0,618.0
221,1.0,1.0,706.0,1952.0,1085000.0,1537.0
222,3.0,3.0,1582.0,1952.0,2850000.0,1802.0
223,1.0,1.0,776.0,1952.0,650000.0,838.0
224,1.0,1.0,786.0,2022.0,1655000.0,2106.0
225,0.0,1.0,429.0,2021.0,599000.0,1396.0
226,0.0,2.0,1800.0,2005.0,1988000.0,1104.0
227,1.0,1.0,726.0,2021.0,799000.0,1101.0
228,1.0,1.0,752.0,2022.0,1225000.0,1629.0
229,0.0,2.0,800.0,1920.0,789000.0,986.0
230,2.0,2.0,1400.0,1898.0,2299000.0,1642.0
231,3.0,3.0,1786.0,2019.0,3950000.0,2212.0
232,5.0,6.0,5499.0,1931.0,17500000.0,3182.0
233,2.0,2.0,1350.0,2021.0,2500000.0,1852.0
234,5.0,5.0,4544.0,2019.0,10800000.0,2377.0
235,1.0,1.0,713.0,2011.0,1195000.0,1676.0
238,2.0,2.0,1336.0,2022.0,3380000.0,2530.0
240,1.0,1.0,819.0,2008.0,1095000.0,1337.0
241,3.0,3.0,2146.0,2016.0,4325599.0,2016.0
242,0.0,1.0,1396.0,2000.0,1295000.0,928.0
243,1.0,1.0,630.0,2022.0,920000.0,1460.0
244,3.0,2.0,972.0,2021.0,1275000.0,1312.0
245,2.0,2.0,1488.0,2016.0,2250000.0,1512.0
246,4.0,4.0,3750.0,1838.0,5990000.0,1597.0
247,3.0,3.0,1623.0,2006.0,1650000.0,1017.0
248,2.0,2.0,1875.0,1886.0,3345000.0,1784.0
249,2.0,2.0,1489.0,2019.0,2650000.0,1780.0
250,0.0,1.0,1396.0,2000.0,1950000.0,1397.0
251,1.0,1.0,1185.0,1984.0,375000.0,316.0
252,0.0,1.0,668.0,1987.0,820000.0,1228.0
253,2.0,2.0,1262.0,1920.0,999000.0,792.0
254,1.0,1.0,737.0,2006.0,1250000.0,1696.0
255,3.0,2.0,1387.0,2022.0,2795000.0,2015.0
257,2.0,2.0,1181.0,2020.0,2254720.0,1909.0
258,3.0,2.0,1582.0,2022.0,3160000.0,1997.0
259,1.0,1.0,640.0,2022.0,1050000.0,1641.0
260,0.0,1.0,503.0,2022.0,800000.0,1590.0
