,bath,sqft,price,price_per_sqft,bedroom,year
1,1.0986122886681098,7.48605261786314,13.513054553109397,6.030685260261263,1.6094379124341003,0.7111111111111111
2,1.6094379124341003,8.295049140435111,16.5563506464056,8.261784679514752,1.3862943611198906,0.9555555555555556
3,0.6931471805599453,6.996681488176539,13.215855541983634,6.222576268071369,1.3862943611198906,0.8266666666666667
4,1.0986122886681098,7.075808863978387,13.38318953651709,6.309918278226516,1.3862943611198906,0.8222222222222222
5,1.3862943611198906,8.288785810426928,14.77102238760702,6.484635235635252,1.0986122886681098,0.7111111111111111
6,0.6931471805599453,6.660575149839686,14.45736497045232,7.798523053625206,0.6931471805599453,0.8355555555555556
11,1.6094379124341003,7.783640596221253,13.76421831620775,5.983936280687191,2.0794415416798357,0.38666666666666666
13,0.6931471805599453,7.0909098220799835,12.791080452981857,5.703782474656201,1.0986122886681098,0.7111111111111111
14,1.0986122886681098,7.0909098220799835,13.19189130572284,6.104793232414985,1.0986122886681098,0.72
15,1.6094379124341003,8.133000218583613,13.99699926803766,5.8664680569332965,2.0794415416798357,0.5777777777777777
16,1.0986122886681098,7.20414929203594,13.592367006650065,6.39024066706535,1.3862943611198906,0.5555555555555556
22,0.6931471805599453,6.621405651764134,13.07086164024146,6.452048954437226,0.6931471805599453,0.7866666666666666
23,0.6931471805599453,6.580639137284949,13.217675375388819,6.639875833826536,0.6931471805599453,0.7066666666666667
25,1.0986122886681098,7.650168700845001,13.707926460869462,6.061456918928017,1.9459101490553132,0.7111111111111111
26,0.6931471805599453,6.90875477931522,13.345508528717259,6.439350371100098,0.6931471805599453,0.6088888888888889
27,1.791759469228055,7.783640596221253,13.910821646859095,6.129050210060545,1.9459101490553132,0.9244444444444444
28,1.3862943611198906,7.333676395657684,13.26212705890841,5.932245187448011,1.3862943611198906,0.8266666666666667
29,1.3862943611198906,8.118207049405783,13.933294482509151,5.817111159963204,1.9459101490553132,0.5333333333333333
30,1.0986122886681098,6.900730664045173,12.84792653170257,5.950642552587727,1.0986122886681098,0.7288888888888889
34,0.6931471805599453,6.516193076042964,12.644330802262578,6.131226489483141,1.0986122886681098,0.6622222222222223
35,0.6931471805599453,5.978885764901122,12.25486757159303,6.280395838960195,0.0,0.5555555555555556
36,0.6931471805599453,6.803505257608338,12.095146671399466,5.298317366548036,1.0986122886681098,0.6177777777777778
41,0.6931471805599453,6.601230118728877,12.013706813470414,5.41610040220442,0.6931471805599453,0.6666666666666666
42,0.6931471805599453,6.883462586413092,12.496878583628968,5.616771097666572,1.0986122886681098,0.6666666666666666
44,0.6931471805599453,7.087573705557973,13.415032991367148,6.329720905522696,1.6094379124341003,0.7911111111111111
45,1.0986122886681098,7.313886831633462,14.03705362919324,6.725033642166843,1.3862943611198906,0.5777777777777777
46,1.3862943611198906,7.628031126930335,15.26242977619469,7.635303886259415,1.3862943611198906,0.9244444444444444
48,1.0986122886681098,7.689828668736484,13.9108207377686,6.222576268071369,1.6094379124341003,0.6222222222222222
49,1.0986122886681098,7.59337419312129,13.764217263576723,6.173786103901937,1.791759469228055,0.7111111111111111
50,1.0986122886681098,7.725330037917135,14.22097566607244,6.498282149476434,1.6094379124341003,0.6
51,1.0986122886681098,7.297091005160418,14.897316067298997,7.601402334583733,1.0986122886681098,0.6711111111111111
52,0.6931471805599453,7.155396301896734,13.180634172318978,6.028278520230698,1.3862943611198906,0.8533333333333334
53,0.6931471805599453,5.993961427306569,12.25486757159303,6.26530121273771,0.0,0.5555555555555556
54,1.3862943611198906,7.806696372521179,14.282384921160133,6.476972362889683,1.9459101490553132,0.7111111111111111
55,1.3862943611198906,8.188966863648876,14.506155109559108,6.318968113746434,2.302585092994046,0.4888888888888889
