,city,bath,sqft,price,price_per_sqft,bedroom,year
2,New York,1.6094379124341003,8.295049140435111,16.5563506464056,8.261784679514752,1.3862943611198906,0.9540816326530612
6,New York,0.6931471805599453,6.660575149839686,14.45736497045232,7.798523053625206,0.6931471805599453,0.8163265306122449
51,New York,1.0986122886681098,7.297091005160418,14.897316067298997,7.601402334583733,1.0986122886681098,0.6275510204081632
88,New York,0.6931471805599453,6.447305862541213,13.457407451830088,7.01301578963963,0.6931471805599453,0.6428571428571429
89,New York,0.6931471805599453,6.447305862541213,13.217675375388819,6.773080375655535,0.6931471805599453,0.6428571428571429
90,New York,0.6931471805599453,6.472346294500901,13.303018546545275,6.833031732786201,0.6931471805599453,0.6428571428571429
109,New York,0.6931471805599453,6.885509670034818,14.60169306007217,7.717796211013582,0.6931471805599453,0.9744897959183674
113,New York,0.6931471805599453,6.824373670043086,14.253766134056512,7.431299675155903,0.6931471805599453,0.6275510204081632
127,New York,1.0986122886681098,7.59337419312129,13.764217263576723,6.173786103901937,1.791759469228055,0.673469387755102
147,New York,1.791759469228055,8.418918622147897,16.11799574596798,7.699842407396986,1.6094379124341003,0.42857142857142855
148,New York,1.791759469228055,8.418918622147897,16.11799574596798,7.699842407396986,1.6094379124341003,0.44387755102040816
153,New York,1.791759469228055,8.326516830239528,16.11799574596798,7.791935956938058,1.6094379124341003,0.42857142857142855
157,New York,1.791759469228055,8.418918622147897,16.11799574596798,7.699842407396986,1.6094379124341003,0.42857142857142855
161,New York,0.6931471805599453,6.056784013228625,13.038983942375959,6.985641817639208,0.0,0.6479591836734694
164,New York,1.3862943611198906,7.968319500012717,15.26242977619469,7.29505641646263,1.6094379124341003,0.8010204081632653
179,New York,1.9459101490553132,6.775366090936392,16.676710995760214,9.902537101000133,1.9459101490553132,0.3673469387755102
188,New York,1.3862943611198906,7.732369222284388,15.89201040209145,8.160232492367689,1.3862943611198906,0.9693877551020408
189,New York,1.0986122886681098,7.123672785204607,14.751604309291395,7.6290038896529575,1.0986122886681098,0.9132653061224489
190,New York,0.6931471805599453,6.22455842927536,13.38318953651709,7.161622002939187,0.6931471805599453,0.7295918367346939
215,New York,1.0986122886681098,8.225770799348734,14.978661680269907,6.754604099487962,0.0,0.3673469387755102
221,New York,0.6931471805599453,6.561030665896573,13.897091466615258,7.338238150065589,0.6931471805599453,0.6326530612244898
222,New York,1.3862943611198906,7.367077059881012,14.862829903121964,7.497207223203318,1.3862943611198906,0.6326530612244898
223,New York,0.6931471805599453,6.655440350367647,13.384729180332174,6.732210706467206,0.6931471805599453,0.6326530612244898
224,New York,0.6931471805599453,6.668228248417403,14.319312171022725,7.653020413804189,0.6931471805599453,0.9897959183673469
225,New York,0.6931471805599453,6.063785208687608,13.303018546545275,7.242082359256962,0.0,0.9846938775510204
227,New York,0.6931471805599453,6.588926477533519,13.591117476312084,7.004881989712859,0.6931471805599453,0.9846938775510204
229,New York,1.0986122886681098,6.68586094706836,13.578522867254332,6.894670039433482,0.0,0.46938775510204084
230,New York,1.0986122886681098,7.244941546337007,14.64798523871695,7.404279118037268,1.0986122886681098,0.35714285714285715
232,New York,1.9459101490553132,8.612503371220562,16.677711496036597,8.065579427282092,1.791759469228055,0.5255102040816326
233,New York,1.0986122886681098,7.208600337960199,14.731801689838349,7.52456122628536,1.0986122886681098,0.9846938775510204
235,New York,0.6931471805599453,6.570882962339584,13.993657580167481,7.424761761823209,0.6931471805599453,0.9336734693877551
238,New York,1.0986122886681098,7.198183577101943,15.033386563317146,7.836369760545124,1.0986122886681098,0.9897959183673469
240,New York,0.6931471805599453,6.709304340258298,13.90626583447433,7.198931240688173,0.6931471805599453,0.9183673469387755
241,New York,1.3862943611198906,7.671826797878781,15.280061417049932,7.6093665379542115,1.3862943611198906,0.9591836734693877
244,New York,1.0986122886681098,6.880384082186005,14.058457520888082,7.180069874302796,1.3862943611198906,0.9846938775510204
245,New York,1.0986122886681098,7.305860032684009,14.626441218624949,7.321849713788356,1.0986122886681098,0.9591836734693877
246,New York,1.6094379124341003,8.229777750081887,15.605602137036527,7.37650812632622,1.6094379124341003,0.05102040816326531
248,New York,1.0986122886681098,7.53689712956617,15.022977550498084,7.487173694213739,1.0986122886681098,0.29591836734693877
252,New York,0.6931471805599453,6.505784060128229,13.617060838751888,7.113956109566034,0.0,0.8112244897959183
253,New York,1.0986122886681098,7.141245122350491,13.81451105863119,6.675823221634848,1.0986122886681098,0.46938775510204084
254,New York,0.6931471805599453,6.6039438246004725,14.038654909278163,7.436617265234227,0.6931471805599453,0.9081632653061225
262,New York,0.6931471805599453,6.665683717782408,14.187074804051692,7.52294091807237,0.6931471805599453,0.9897959183673469
263,New York,0.6931471805599453,6.68586094706836,13.38318953651709,6.699500340161678,0.6931471805599453,0.5816326530612245
266,New York,1.0986122886681098,7.136483208590247,14.467836264837162,7.333023014386481,1.0986122886681098,0.8061224489795918
267,New York,0.6931471805599453,6.736966958001855,13.76421831620775,7.029087564149662,0.6931471805599453,0.9846938775510204
269,New York,1.0986122886681098,7.297091005160418,15.068273812173887,7.772331575169614,1.0986122886681098,0.9897959183673469
272,New York,1.0986122886681098,7.247080584585756,15.053885078862573,7.807916628926408,1.0986122886681098,0.6173469387755102
274,New York,1.6094379124341003,8.043984431221553,15.894327029328357,7.850882664809852,1.6094379124341003,0.9795918367346939
278,New York,1.3862943611198906,7.724004656676065,15.671027149367234,7.947678571301568,1.3862943611198906,0.5204081632653061
279,New York,0.6931471805599453,6.393590753950631,13.635188201437066,7.24422751560335,0.6931471805599453,0.8112244897959183
